program,family,piid,work_type,wave_seq,wave_start,wave_end,wave_anchor,wave_duration_days,prior_wave_interval_days,n_records,wave_dollars_m,wave_dollars_positive_m,n_vendors,top_vendor_uei,top_vendor_name,top1_share,others_share,modal_capability,neg_correction_m,prime_base_offset_days
columbia,Submarines,N0002419C2115,machining,1,2019-03-29,2019-03-29,2019-03-29,0,,1,6.159,6.159,1,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,1.0,0.0,Machine Shops,0.0,119
columbia,Submarines,N0002419C2115,machining,2,2019-12-31,2019-12-31,2019-12-31,0,277,1,0.295,0.295,1,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,1.0,0.0,Machine Shops,0.0,396
columbia,Submarines,N0002419C2115,machining,3,2021-02-26,2021-03-31,2021-03-15,33,440,2,3.683,3.683,1,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,1.0,0.0,Machine Shops,0.0,836
columbia,Submarines,N0002419C2115,piping,1,2019-01-31,2019-04-30,2019-03-29,89,,5,25.441,25.441,3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.6513,0.3487,Industrial Valve Manufacturing,0.0,119
columbia,Submarines,N0002419C2115,piping,2,2021-02-26,2021-03-31,2021-03-15,33,717,4,23.617,23.617,4,WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",0.5821,0.4179,Fabricated Pipe and Pipe Fitting Manufacturing,0.0,836
columbia,Submarines,N0002419C2115,structural,1,2019-01-31,2019-01-31,2019-01-31,0,,1,1.233,1.233,1,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",1.0,0.0,Plate Work Manufacturing,0.0,62
columbia,Submarines,N0002419C2115,structural,2,2021-03-31,2021-03-31,2021-03-31,0,790,1,6.127,6.127,1,E8LNMDLEKM35,D.C. FABRICATORS INC.,1.0,0.0,Fabricated Structural Metal Manufacturing,0.0,852
columbia,Submarines,N0002419C2115,unbucketed,1,2019-01-31,2019-02-28,2019-02-28,28,,5,9.99,9.99,3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.9207,0.0793,Industrial Valve Manufacturing,0.0,90
columbia,Submarines,N0002419C2115,unbucketed,2,2019-05-30,2019-06-28,2019-05-31,29,92,3,1.46,1.46,3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.5816,0.4184,Industrial Valve Manufacturing,0.0,182
columbia,Submarines,N0002419C2115,unbucketed,3,2019-11-29,2019-11-29,2019-11-29,0,182,1,0.292,0.292,1,W43NW8NZ7AJ8,GENERAL NUCLEAR CORP.,1.0,0.0,,0.0,364
columbia,Submarines,N0002419C2115,unbucketed,4,2021-01-29,2021-03-31,2021-03-01,61,458,6,4.381,4.381,4,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.7862,0.2138,Industrial Valve Manufacturing,0.0,822
ddg,DDG-51,N0002411C2307,coatings,1,2013-05-09,2013-05-09,2013-05-09,0,,1,0.106,0.106,1,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2307,coatings,2,2013-09-25,2013-09-25,2013-09-25,0,139,1,0.183,0.183,1,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2307,coatings,3,2014-01-27,2014-01-27,2014-01-27,0,124,1,0.155,0.155,1,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2307,coatings,4,2014-11-19,2014-11-19,2014-11-19,0,296,1,0.036,0.036,1,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2307,coatings,5,2015-08-24,2015-10-23,2015-09-23,60,308,2,0.194,0.194,1,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,1.0,0.0,Painting and Wall Covering Contractors,0.0,
ddg,DDG-51,N0002411C2307,coatings,6,2017-08-18,2017-08-18,2017-08-18,0,695,1,0.08,0.08,1,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2307,coatings,7,2017-12-19,2017-12-19,2017-12-19,0,123,1,0.166,0.166,1,JQTLH33SXNQ7,SECURITAS AB,1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2307,electrical,1,2013-05-06,2013-12-09,2013-08-22,217,,9,0.424,0.424,2,SKKACASET588,DYNALEC CORPORATION,0.8764,0.1236,Other Communications Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,electrical,2,2014-03-21,2014-08-15,2014-06-04,147,286,6,0.588,0.588,2,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",0.6307,0.3693,Switchgear and Switchboard Apparatus Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,electrical,3,2016-11-30,2016-11-30,2016-11-30,0,910,1,0.031,0.031,1,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,1.0,0.0,"Power, Distribution, and Specialty Transformer Manufacturing",0.0,
ddg,DDG-51,N0002411C2307,electrical,4,2018-04-05,2018-04-05,2018-04-05,0,491,2,0.081,0.081,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,hvac,1,2013-04-15,2013-04-15,2013-04-15,0,,1,0.08,0.08,1,E2UWVCT7GDJ4,"IRVING PLACE CAPITAL, LLC",1.0,0.0,Heating Equipment (except Warm Air Furnaces) Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,hvac,2,2013-08-14,2013-09-06,2013-08-26,23,133,2,0.098,0.098,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,hvac,3,2014-05-28,2014-05-28,2014-05-28,0,275,1,0.026,0.026,1,L8T4R3N7ACL6,COLFAX CORPORATION,1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,hvac,4,2014-08-27,2014-08-27,2014-08-27,0,91,1,0.029,0.029,1,L8T4R3N7ACL6,COLFAX CORPORATION,1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,hvac,5,2016-03-01,2016-03-01,2016-03-01,0,552,1,0.028,0.028,1,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2307,hvac,6,2016-08-03,2016-10-27,2016-09-15,85,198,2,0.397,0.397,1,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2307,hvac,7,2017-03-09,2017-03-09,2017-03-09,0,175,1,0.055,0.055,1,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2307,hvac,8,2017-08-29,2017-08-29,2017-08-29,0,173,1,0.028,0.028,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,machining,1,2013-06-26,2013-08-02,2013-07-15,37,,2,1.327,1.327,2,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,0.6954,0.3046,Machine Shops,0.0,
ddg,DDG-51,N0002411C2307,machining,2,2013-12-10,2013-12-10,2013-12-10,0,148,1,0.228,0.228,1,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2307,machining,3,2014-07-29,2014-08-04,2014-08-01,6,234,2,0.094,0.094,1,D44RA79E3K57,PRECISION PRODUCTS INC,1.0,0.0,Machine Shops,0.0,
ddg,DDG-51,N0002411C2307,machining,4,2014-11-07,2014-11-07,2014-11-07,0,98,1,0.031,0.031,1,D44RA79E3K57,PRECISION PRODUCTS INC,1.0,0.0,Machine Shops,0.0,
ddg,DDG-51,N0002411C2307,machining,5,2015-06-09,2015-06-09,2015-06-09,0,214,1,0.035,0.035,1,GCWKULHML2S3,"WARTSILA DEFENSE, INC.",1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2307,machining,6,2015-10-05,2015-10-19,2015-10-12,14,125,2,0.109,0.109,2,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,0.7316,0.2684,,0.0,
ddg,DDG-51,N0002411C2307,machining,7,2016-08-02,2017-03-17,2016-11-10,227,395,4,0.16,0.16,1,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2307,machining,8,2017-07-25,2017-10-18,2017-09-16,85,310,4,0.131,0.131,1,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2307,piping,1,2013-04-05,2013-09-20,2013-07-19,168,,11,1.8,1.8,7,GGSLGRB5KXM6,PON HOLDINGS B.V.,0.6855,0.3145,Electrical Contractors and Other Wiring Installation Contractors,0.0,
ddg,DDG-51,N0002411C2307,piping,2,2014-04-22,2014-04-22,2014-04-22,0,277,1,0.035,0.035,1,Q35JL9GFCAK3,MAROTTA CONTROLS INC,1.0,0.0,Fluid Power Valve and Hose Fitting Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,piping,3,2014-11-21,2014-12-02,2014-11-27,11,219,2,0.056,0.056,2,WWMME88ERQG5,"BESTWELD, INC.",0.5197,0.4803,Fabricated Pipe and Pipe Fitting Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,piping,4,2015-08-03,2015-09-09,2015-08-22,37,268,2,0.081,0.081,2,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,0.5476,0.4524,"Corporate, Subsidiary, and Regional Managing Offices",0.0,
ddg,DDG-51,N0002411C2307,piping,5,2016-01-22,2016-01-22,2016-01-22,0,153,1,0.066,0.066,1,GGSLGRB5KXM6,PON HOLDINGS B.V.,1.0,0.0,Electrical Contractors and Other Wiring Installation Contractors,0.0,
ddg,DDG-51,N0002411C2307,piping,6,2016-08-03,2016-09-28,2016-08-31,56,222,2,0.264,0.264,2,Q35JL9GFCAK3,MAROTTA CONTROLS INC,0.7554,0.2446,Fluid Power Valve and Hose Fitting Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,piping,7,2017-07-13,2017-07-13,2017-07-13,0,316,1,0.026,0.026,1,L8T4R3N7ACL6,COLFAX CORPORATION,1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,piping,8,2017-11-07,2017-11-07,2017-11-07,0,117,1,0.031,0.031,1,GGSLGRB5KXM6,PON HOLDINGS B.V.,1.0,0.0,Electrical Contractors and Other Wiring Installation Contractors,0.0,
ddg,DDG-51,N0002411C2307,piping,9,2019-02-07,2019-03-05,2019-02-20,26,470,2,0.159,0.159,2,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",0.5793,0.4207,Industrial Valve Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,structural,1,2013-04-23,2013-06-11,2013-05-06,49,,3,0.108,0.108,1,X99SLLWX4NV1,"SUMMA HOLDINGS, INC.",1.0,0.0,Boat Building,0.0,
ddg,DDG-51,N0002411C2307,structural,2,2013-09-12,2014-02-28,2014-01-01,169,240,4,2.596,2.596,2,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",0.8982,0.1018,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2307,structural,3,2014-09-08,2014-10-27,2014-10-22,49,294,3,0.127,0.127,3,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",0.5181,0.4819,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2307,structural,4,2015-02-03,2015-04-07,2015-03-07,63,136,2,0.385,0.385,2,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",0.8259,0.1741,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2307,structural,5,2015-08-19,2015-10-12,2015-09-15,54,192,2,0.683,0.683,2,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,0.8008,0.1992,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2307,structural,6,2016-06-20,2016-06-20,2016-06-20,0,279,1,0.09,0.09,1,JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",1.0,0.0,Metal Window and Door Manufacturing,0.0,
ddg,DDG-51,N0002411C2307,structural,7,2016-10-19,2016-12-09,2016-11-14,51,147,2,0.335,0.335,1,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,1.0,0.0,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2307,structural,8,2017-06-29,2017-07-05,2017-07-02,6,230,2,0.182,0.182,1,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,1.0,0.0,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2307,structural,9,2017-12-05,2019-04-15,2018-10-09,496,464,20,2.681,2.681,2,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",0.9249,0.0751,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2307,unbucketed,1,2013-04-08,2015-02-23,2013-11-26,686,,53,4.026,4.026,42,K8E4CQYCRJ25,ADVANCED STRUCTURES CORPORATION,0.1357,0.8643,Industrial Machinery and Equipment Merchant Wholesalers,0.0,
ddg,DDG-51,N0002411C2307,unbucketed,2,2015-07-23,2017-11-15,2016-10-22,846,1061,60,4.502,4.502,35,JNC1BUEVV3B9,"JGILS, LLC",0.1427,0.8573,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2307,unbucketed,3,2018-04-05,2018-05-28,2018-05-02,53,557,2,0.056,0.056,2,W8PTMRME1496,LEONARDO SPA,0.5144,0.4856,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,coatings,1,2013-09-18,2013-09-18,2013-09-18,0,,1,0.035,0.035,1,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2309,coatings,2,2014-01-23,2014-01-23,2014-01-23,0,127,1,0.092,0.092,1,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2309,coatings,3,2014-07-28,2014-07-28,2014-07-28,0,186,1,0.029,0.029,1,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
ddg,DDG-51,N0002411C2309,coatings,4,2016-04-04,2016-12-14,2016-07-02,254,705,10,1.491,1.491,1,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,1.0,0.0,Painting and Wall Covering Contractors,0.0,
ddg,DDG-51,N0002411C2309,electrical,1,2013-04-12,2013-06-18,2013-05-07,67,,5,0.236,0.236,1,SKKACASET588,DYNALEC CORPORATION,1.0,0.0,Other Communications Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,electrical,2,2013-09-20,2013-12-09,2013-10-30,80,176,2,0.095,0.095,2,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",0.6751,0.3249,Switchgear and Switchboard Apparatus Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,electrical,3,2014-04-16,2014-04-16,2014-04-16,0,168,1,0.307,0.307,1,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",1.0,0.0,Switchgear and Switchboard Apparatus Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,electrical,4,2016-03-29,2016-04-12,2016-04-06,14,721,3,0.22,0.22,2,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",0.8546,0.1454,Switchgear and Switchboard Apparatus Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,electrical,5,2017-07-24,2017-07-24,2017-07-24,0,474,1,0.036,0.036,1,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,1.0,0.0,"Power, Distribution, and Specialty Transformer Manufacturing",0.0,
ddg,DDG-51,N0002411C2309,electrical,6,2018-03-06,2018-04-05,2018-03-21,30,240,2,0.059,0.059,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,hvac,1,2013-08-14,2013-09-06,2013-08-26,23,,2,0.098,0.098,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,hvac,2,2014-04-24,2014-04-24,2014-04-24,0,241,1,0.048,0.048,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,hvac,3,2015-05-19,2015-05-19,2015-05-19,0,390,1,0.093,0.093,1,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2309,hvac,4,2015-08-31,2015-12-17,2015-11-12,108,177,3,0.266,0.266,1,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2309,hvac,5,2016-04-18,2016-04-18,2016-04-18,0,158,1,0.028,0.028,1,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2309,hvac,6,2016-08-01,2016-12-21,2016-10-11,142,176,4,0.258,0.258,2,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",0.8852,0.1148,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,machining,1,2013-06-26,2013-06-26,2013-06-26,0,,1,0.401,0.401,1,D44RA79E3K57,PRECISION PRODUCTS INC,1.0,0.0,Machine Shops,0.0,
ddg,DDG-51,N0002411C2309,machining,2,2013-12-18,2013-12-18,2013-12-18,0,175,1,0.031,0.031,1,D44RA79E3K57,PRECISION PRODUCTS INC,1.0,0.0,Machine Shops,0.0,
ddg,DDG-51,N0002411C2309,machining,3,2014-06-05,2014-09-25,2014-07-21,112,215,3,0.181,0.181,3,RMLGMBGNPCC8,"KINGSBURY, INC.",0.4281,0.5719,Mechanical Power Transmission Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,machining,4,2015-01-20,2015-01-30,2015-01-26,10,189,3,0.105,0.105,3,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,0.4273,0.5727,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",0.0,
ddg,DDG-51,N0002411C2309,machining,5,2015-11-11,2016-03-11,2016-01-21,121,360,3,0.268,0.268,1,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2309,machining,6,2016-10-26,2016-10-26,2016-10-26,0,279,1,0.057,0.057,1,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,1.0,0.0,,0.0,
ddg,DDG-51,N0002411C2309,machining,7,2017-12-12,2018-02-21,2018-01-14,71,445,4,0.155,0.155,3,GCWKULHML2S3,"WARTSILA DEFENSE, INC.",0.4899,0.5101,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",0.0,
ddg,DDG-51,N0002411C2309,piping,1,2013-05-13,2013-05-13,2013-05-13,0,,1,1.458,1.458,1,GGSLGRB5KXM6,PON HOLDINGS B.V.,1.0,0.0,Electrical Contractors and Other Wiring Installation Contractors,0.0,
ddg,DDG-51,N0002411C2309,piping,2,2013-09-20,2013-09-20,2013-09-20,0,130,1,0.063,0.063,1,DQLZFV6PFCB9,"TATE ANDALE, LLC",1.0,0.0,Industrial Valve Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,piping,3,2014-05-19,2014-05-19,2014-05-19,0,241,1,0.034,0.034,1,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,1.0,0.0,Industrial Valve Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,piping,4,2015-07-28,2016-01-12,2015-10-09,168,508,4,0.191,0.191,3,GGSLGRB5KXM6,PON HOLDINGS B.V.,0.6312,0.3688,Electrical Contractors and Other Wiring Installation Contractors,0.0,
ddg,DDG-51,N0002411C2309,piping,5,2016-08-03,2016-11-08,2016-09-07,97,334,3,0.254,0.254,3,Q35JL9GFCAK3,MAROTTA CONTROLS INC,0.7795,0.2205,Fluid Power Valve and Hose Fitting Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,piping,6,2017-07-14,2017-07-14,2017-07-14,0,310,1,0.05,0.05,1,Q35JL9GFCAK3,MAROTTA CONTROLS INC,1.0,0.0,Fluid Power Valve and Hose Fitting Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,structural,1,2013-04-18,2013-10-01,2013-08-26,166,,5,2.432,2.432,4,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",0.8688,0.1312,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,structural,2,2014-02-28,2014-02-28,2014-02-28,0,186,1,0.131,0.131,1,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",1.0,0.0,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,structural,3,2014-06-05,2014-07-09,2014-06-22,34,114,2,0.245,0.245,1,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",1.0,0.0,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,structural,4,2014-10-10,2014-10-10,2014-10-10,0,110,1,0.817,0.817,1,EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",1.0,0.0,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,structural,5,2015-04-07,2015-06-18,2015-05-13,72,215,2,0.595,0.595,2,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,0.8871,0.1129,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,structural,6,2016-03-11,2016-11-17,2016-08-23,251,468,6,0.366,0.366,3,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,0.7341,0.2659,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,structural,7,2017-05-09,2017-05-09,2017-05-09,0,259,3,0.15,0.15,3,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",0.3333,0.6667,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,structural,8,2017-10-31,2018-08-28,2018-03-23,301,318,9,0.599,0.599,3,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",0.7846,0.2154,Ship Building and Repairing,0.0,
ddg,DDG-51,N0002411C2309,unbucketed,1,2013-04-05,2014-07-08,2013-08-17,459,,38,2.744,2.744,31,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",0.098,0.902,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",0.0,
ddg,DDG-51,N0002411C2309,unbucketed,2,2014-10-09,2017-06-21,2016-02-08,986,905,51,3.57,3.57,33,JNC1BUEVV3B9,"JGILS, LLC",0.1339,0.8661,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
ddg,DDG-51,N0002411C2309,unbucketed,3,2017-11-08,2018-05-01,2018-03-12,174,763,13,1.782,1.782,3,E5K9VR2A1MW9,BAE SYSTEMS PLC,0.9075,0.0925,,0.0,
ddg,DDG-51,N0002411C2309,unbucketed,4,2018-11-02,2019-02-18,2018-11-19,108,252,4,0.452,0.452,2,E5K9VR2A1MW9,BAE SYSTEMS PLC,0.834,0.166,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002412C2312,unbucketed,1,2013-09-13,2013-09-13,2013-09-13,0,,1,0.448,0.448,1,TT9AGM31ZHM5,"BURK-KLEINPETER, INC.",1.0,0.0,,0.0,-2211
ddg,DDG-51,N0002412C2312,unbucketed,2,2014-01-22,2014-01-22,2014-01-22,0,131,1,0.06,0.06,1,TT9AGM31ZHM5,"BURK-KLEINPETER, INC.",1.0,0.0,,0.0,-2080
ddg,DDG-51,N0002412C2312,unbucketed,3,2014-07-31,2014-08-07,2014-08-03,7,193,2,4.356,4.356,2,KQDAHF4VF266,"BEN M. RADCLIFF CONTRACTOR, INC.",0.9246,0.0754,,0.0,-1887
ddg,DDG-51,N0002412C2312,unbucketed,4,2015-04-30,2015-05-15,2015-05-08,15,278,2,0.511,0.511,2,FX3GHG9B79N5,"TC/AMERICAN MONORAIL, INC.",0.878,0.122,,0.0,-1609
ddg,DDG-51,N0002412C2312,unbucketed,5,2016-06-02,2016-08-17,2016-07-10,76,429,2,1.059,1.059,1,C6KWNDH3EEB5,"CARDINAL ENGINEERING, LLC",1.0,0.0,,0.0,-1180
ddg,DDG-51,N0002413C2305,electrical,1,2021-12-10,2021-12-10,2021-12-10,0,,1,0.049,0.049,1,C1B6X8AADFB1,"COMSACO, INC.",1.0,0.0,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.0,
ddg,DDG-51,N0002413C2305,electrical,2,2022-12-02,2022-12-02,2022-12-02,0,357,1,0.083,0.083,1,YYVHWZMPP3F8,DRS NAVAL POWER SYSTEMS INC,1.0,0.0,,0.0,
ddg,DDG-51,N0002413C2305,electrical,3,2023-07-11,2023-08-24,2023-08-24,44,265,4,0.188,0.188,1,PNE9R5EJMWK8,"L3 TECHNOLOGIES, INC.",1.0,0.0,Switchgear and Switchboard Apparatus Manufacturing,0.0,
ddg,DDG-51,N0002413C2305,electrical,4,2025-05-09,2025-05-09,2025-05-09,0,624,1,0.034,0.034,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
ddg,DDG-51,N0002413C2305,hvac,1,2022-01-24,2022-01-24,2022-01-24,0,,1,0.055,0.055,1,TKJ1TW2YRNL3,MEGGITT PLC,1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
ddg,DDG-51,N0002413C2305,hvac,2,2022-09-26,2022-09-26,2022-09-26,0,245,1,0.114,0.114,1,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
ddg,DDG-51,N0002413C2305,hvac,3,2023-12-20,2023-12-20,2023-12-20,0,450,5,0.396,0.396,1,ZTPLJJTAD2F4,HOWDEN AMERICAN FAN COMPANY,1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
ddg,DDG-51,N0002413C2305,hvac,4,2024-05-17,2024-05-17,2024-05-17,0,149,2,0.071,0.071,1,PLYSMJBAYE42,MEGGITT SAFETY SYSTEMS INC,1.0,0.0,Other Aircraft Parts and Auxiliary Equipment Manufacturing,0.0,
ddg,DDG-51,N0002413C2305,hvac,5,2024-10-01,2025-02-19,2024-11-24,141,191,3,0.128,0.128,3,W8PTMRME1496,LEONARDO SPA,0.4216,0.5784,Aircraft Manufacturing,0.0,
