Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
GUD4TJE3FN31,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,,CIRCOR PUMPS NORTH AMERICA LLC,Domestic,3.350693,5,2021-06-24,2023-04-18,,,,,,
ZW3UMG9YVNA9,335313,Switchgear and Switchboard Apparatus Manufacturing,,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.","L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",Domestic,3.328117,25,2017-02-21,2025-01-22,,,,,"The Tulsa L3Harris maritime-power operation manufactures MIL-SPEC switchboards, load centers, and related shipboard power-distribution assemblies. Its Virginia-class role is electrical distribution equipment, although the precise assembly in the subaward is not publicly identified.","https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10423117/
https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers"
GFCUEMH2CGN1,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,RIVERHEAD BUILDING SUPPLY CORP.,RIVERHEAD BUILDING SUPPLY CORP.,Domestic,3.22677,32,2021-04-29,2024-10-18,,,,,,
MRGNDX62YHQ3,,"n/a (foreign, no SAM record)",,Marshall-Barwick Holdings Inc,Conrex Steel Ltd,Foreign,3.203093,4,2017-06-20,2021-12-15,,,,,,
QVJEVJHK3G31,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,,AGGREKO PLC,"AGGREKO, LLC",Domestic,3.187665,52,2016-01-28,2025-01-24,,,,,,
UE9QJD4KK1L6,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,"LEIDOS HOLDINGS, INC.","LEIDOS, INC.",Domestic,3.17548,3,2021-10-01,2024-05-31,,,,,,
JU5GNH1H5FV6,334111,Electronic Computer Manufacturing,,CURTISS-WRIGHT CORPORATION,DY4 INC.,Domestic,3.155405,24,2016-08-04,2025-07-30,,,,,"DY4/Curtiss-Wright Defense Solutions in Ashburn supplies rugged embedded computing hardware, including VPX single-board computers and processing modules. A Navy notice tied to the entity identifies a VPX computer, but the precise Virginia-class subsystem using it is not publicly disclosed.","https://www.highergov.com/awardee/curtiss-wright-ds-inc-10116343/
https://sam.gov/opp/70e87d68257542a9a2ba9ab863ac6d8f/view
https://www.curtisswrightds.com/products/computing"
KYFUJ83L3UY9,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",,"TIMKEN COMPANY, THE",CONE DRIVE OPERATIONS INC.,Domestic,3.098574,9,2016-11-29,2024-09-12,,,,,,
U5DDDFM4LJS3,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,,,"PRIME TECHNOLOGY, LLC",Domestic,3.07789,16,2016-07-26,2025-08-15,,,,,,
CABCB9XBJHK5,561320,Temporary Help Services,,"APOLLO PROFESSIONAL SOLUTIONS, INC.","APOLLO PROFESSIONAL SOLUTIONS, INC.",Domestic,3.022975,20,2016-05-26,2024-11-20,,,,,,
KNEFNMWXBK39,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,JO-KELL INC.,JO-KELL INC.,Domestic,2.954801,40,2016-09-06,2024-11-15,,,,,,
ZPZMCRH2JSA3,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,EZEFLOW USA INC,"EZEFLOW USA, INC.",Domestic,2.855452,40,2017-06-23,2024-10-16,,,,,,
NN7PCHZFNZP8,331513,Steel Foundries (except Investment),,,GOODWIN STEEL CASTINGS LIMITED,Foreign,2.829169,4,2023-09-27,2024-08-22,,,,,,
RK6GKSXPC8W7,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,,ARNOLD MAGNETICS CORPORATION,Domestic,2.775163,24,2016-02-03,2024-11-21,,,,,,
UR64LG5YKUE8,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,"Lyn-Lad Group, Ltd.",LYNN LADDER AND SCAFFOLDING CO INC,Domestic,2.773182,14,2016-12-21,2023-12-21,,,,,,
MYKLJHTX3MM7,541512,Computer Systems Design Services,,"LEIDOS HOLDINGS, INC.","LEIDOS, INC.",Domestic,2.721453,6,2018-03-23,2019-04-17,,,,,,
KXWXRYB3FBW3,333995,Fluid Power Cylinder and Actuator Manufacturing,,FLOWSERVE CORPORATION,FLOWSERVE CORP,Domestic,2.688591,6,2021-11-30,2024-09-05,,,,,,
JU2ME5ZK8VL3,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,"MMC METROLOGY LAB, INC",Domestic,2.6882,44,2016-09-19,2025-05-23,,,,,,
TAB4FBLR5UM1,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,Anixter International Inc.,ANIXTER INC.,Domestic,2.59392,5,2017-01-17,2020-02-13,,,,,,
HSV2N9ACRTJ6,332911,Industrial Valve Manufacturing,,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,Domestic,2.571647,71,2016-02-19,2024-11-13,,,,,,
EDJPMQN1HSJ1,339113,Surgical Appliance and Supplies Manufacturing,,"MSA SAFETY SALES, LLC","MSA SAFETY SALES, LLC",Domestic,2.528328,12,2019-03-20,2024-08-20,,,,,,
HDM5WRBME2K7,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,,NORTHROP GRUMMAN CORPORATION,ALLIANT TECHSYSTEMS OPERATIONS LLC,Domestic,2.514366,3,2016-11-09,2020-10-30,,,,,"This UEI is the Alliant Techsystems/Northrop Grumman Rocket Center, West Virginia propulsion-products operation. Its public business is missile and rocket propulsion, and I found no credible public evidence of a Virginia-class submarine-construction role for this exact entity.",https://www.highergov.com/awardee/alliant-techsystems-operations-llc-10112939/
R2D6XY1EM6J8,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,"SENSARAS, LLC","SENSARAS, LLC",Domestic,2.445265,13,2016-04-25,2023-07-28,,,,,,
PGWNKJF89FV5,334111,Electronic Computer Manufacturing,,Elma Electronic AG,ELMA ELECTRONIC INC.,Domestic,2.430256,23,2017-03-07,2023-12-04,,,,,,
HA3UFSU8FN75,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,"L3HARRIS TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",Domestic,2.411504,10,2016-10-03,2022-03-11,,,,,"This UEI is L3 KEO in Northampton, Massachusetts, a photonics and submarine-mast business. It supplies optical/periscope and Universal Modular Mast hardware for Virginia-class submarines; public sources do not identify the exact mast module in this subaward.","https://www.sweetspot.so/markets/federal/contractors/l3-technologies-inc-ha3ufsu8fn75/
https://www.sledai.com/tools/public-spend/vendor/l3-technologies-inc-ha3ufsu8fn75/
https://sossecinc.com/company/l3harris-technologies-4/"
QPB2M919LQM5,331529,Other Nonferrous Metal Foundries (except Die-Casting),,MATERION CORPORATION,MATERION BRUSH INC,Domestic,2.363354,14,2021-01-12,2025-07-29,,,,,,
JH2CJYVWBME6,332991,Ball and Roller Bearing Manufacturing,,Rbc Bearings Incorporated,"ROLLER BEARING COMPANY OF AMERICA, INC.",Domestic,2.348999,14,2016-02-10,2021-09-29,,,,,,
DDQCLD6FEJJ6,332721,Precision Turned Product Manufacturing,,"STANLEY BLACK & DECKER, INC.","TOG MANUFACTURING COMPANY, INC.",Domestic,2.347632,34,2018-10-09,2024-09-27,,,,,,
E86EYMJR23D1,332911,Industrial Valve Manufacturing,,,"MELLINGER ENGINEERING, INCORPORATED",Domestic,2.332661,10,2021-03-02,2024-09-26,,,,,,
PUVNWFNW5BG3,336612,Boat Building,,,VETERANS GROUP LLC,Domestic,2.302613,8,2022-05-17,2025-01-17,,,,,,
EUB6UJ91Y997,336611,Ship Building and Repairing,,"Reinauer Transportation Companies, LLC",SENESCO MARINE LLC,Domestic,2.289201,7,2021-03-31,2023-07-10,,,,,,
WN3KS9Z5JLK9,332710,Machine Shops,,,"PRECISION MACHINE & GEAR, INC.",Domestic,2.273788,36,2015-03-25,2019-10-28,,,,,,
LL3PZJHUKZV3,332312,Fabricated Structural Metal Manufacturing,,,AMERICAN STEEL AND ALUMINUM LLC,Domestic,2.251289,40,2022-09-30,2024-10-24,,,,,,
D6GJGD1KMH25,,"n/a (SAM record, no NAICS)",,"Anixter, Inc","ANIXTER, INC",Domestic,2.24266,9,2024-04-26,2025-08-13,,,,,,
GFBTEVXB65X7,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,,BERKSHIRE HATHAWAY INC.,"PCC ROLLMET, INC.",Domestic,2.2139,13,2018-01-30,2024-09-06,,,,,,
SK3YCN3CHJD7,332710,Machine Shops,,,"PLASTIC DISTRIBUTORS & FABRICATORS, INC.",Domestic,2.210935,33,2016-08-24,2025-01-23,,,,,,
GYMLL74UL5Q8,332912,Fluid Power Valve and Hose Fitting Manufacturing,,"Dvcc, LLC","HYDRASEARCH COMPANY, LLC",Domestic,2.207093,28,2019-05-24,2024-11-21,,,,,,
EDNNTCM7SUS8,336611,Ship Building and Repairing,,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC","INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",Domestic,2.197599,13,2017-10-10,2024-09-06,,,,,,
V73QNVKJWAJ9,334111,Electronic Computer Manufacturing,,"DEXTER APACHE HOLDINGS, INC.",CRYSTAL GROUP INC.,Domestic,2.186616,13,2016-11-15,2019-02-18,,,,,,
XPJVJCWTHYV6,333248,All Other Industrial Machinery Manufacturing,,"ESCO GROUP, INC.",ESCO GROUP INC,Domestic,2.159331,4,2016-05-16,2023-09-27,,,,,,
CG86N1ZC42B8,,n/a (no SAM record),,AMMCON CORP.,AMMCON CORP.,Domestic,2.139469,32,2019-09-26,2025-01-17,,,,,,
UNG7G6S4JRA6,339999,All Other Miscellaneous Manufacturing,,5TH AXIS LLC,"5TH AXIS, LLC",Domestic,2.136044,12,2017-03-16,2024-07-23,,,,,,
SS8JL7WNHPX9,541330,Engineering Services,,"BURNS & MCDONNELL, INC.","BURNS & MCDONNELL ENGINEERING COMPANY, INC.",Domestic,2.111886,6,2016-11-21,2018-07-23,,,,,,
Z89SS59265U9,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,ESPEY MFG AND ELECTRONICS CORP,ESPEY MFG AND ELECTRONICS CORP,Domestic,2.087144,15,2017-05-26,2025-06-30,,,,,,
NMHFLDYJJ4C5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,Domestic,2.055521,8,2017-01-18,2019-10-10,,,,,,
T5C6JNLVSC17,332216,Saw Blade and Handtool Manufacturing,,,HYDRATIGHT OPERATIONS INC,Domestic,2.0446,8,2022-06-29,2023-05-24,,,,,,
MKDGDE6K34N5,331513,Steel Foundries (except Investment),,"D. W. CLARK, INC","D. W. CLARK, INC",Domestic,2.023837,21,2020-10-30,2025-07-30,,,,,,
YGGCA283C3P4,332911,Industrial Valve Manufacturing,,"CIRCOR INTERNATIONAL, INC.",HALE HAMILTON (VALVES) LIMITED,Foreign,2.018581,2,2016-08-31,2021-12-17,,,,,"Hale Hamilton in the United Kingdom manufactures high-pressure gas and air regulating, reducing, and shutoff valves. Navy procurement records confirm regulating-valve hardware from this entity, but the exact Virginia-class gas/air system application is not publicly identified.","https://www.sweetspot.so/markets/federal/contractors/hale-hamilton-valves-limited-yggca283c3p4/
https://sam.gov/opp/45192dda047048f88eaed665d057ef1b/view
https://www.halehamilton.com/"
Z86FMF9P1KD6,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,,"G. S. E. DYNAMICS, INC.","G. S. E. DYNAMICS, INC.",Domestic,2.008982,4,2022-06-14,2024-10-24,,,,,,
ZVKEBJ4HQHB8,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,"HEILIND ELECTRONICS, INC",HEILIND MIL-AERO LLC,Domestic,1.996318,47,2016-09-19,2025-01-23,,,,,,
U2PTLL8PXDE3,423830,Industrial Machinery and Equipment Merchant Wholesalers,,,"ABLE MACHINE TOOL SALES, INC.",Domestic,1.974442,4,2017-09-08,2018-10-29,,,,,,
CR99X5Q2KQS1,336611,Ship Building and Repairing,,"LBI, INC.","L.B.I., INC.",Domestic,1.963595,16,2017-03-13,2023-08-28,,,,,,
EU8ESM53JNE7,,n/a (no SAM record),,,LANXESS CORPORATION,Domestic,1.912998,6,2022-05-04,2024-09-26,,,,,,
QLTXH525A671,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,,"RAPID PREP, LLC","RAPID PREP, LLC",Domestic,1.893998,44,2016-11-28,2024-08-20,,,,,,
NGMSB6M2QKA4,423840,Industrial Supplies Merchant Wholesalers,,,ASA ENVIRONMENTAL PRODUCTS INC,Domestic,1.851814,36,2016-08-02,2024-10-25,,,,,,
NKNLZEBJBM67,332912,Fluid Power Valve and Hose Fitting Manufacturing,,Transdigm Group Incorporated,"TRANSDIGM, INC.",Domestic,1.8414,12,2019-10-09,2024-09-18,,,,,,
FFKCVFLHNTE7,333611,Turbine and Turbine Generator Set Units Manufacturing,,Wärtsilä Oyj Abp,AMERICAN HYDRO CORPORATION,Domestic,1.829131,15,2016-12-13,2023-05-19,,,,,,
Y7N4SPXNK115,,"n/a (SAM record, no NAICS)",,CLEVELAND-CLIFFS INC.,CLEVELAND-CLIFFS STEEL LLC,Domestic,1.759286,19,2017-09-01,2022-01-27,,,,,,
HJUAXSF12JR6,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,"CUSTOM HYDRAULIC & MACHINE, INC.",Domestic,1.749249,32,2018-10-19,2024-11-18,,,,,,
LG88NCWJ3A95,332420,Metal Tank (Heavy Gauge) Manufacturing,,"YOUNG ENGINEERING & MANUFACTURING, INC.","YOUNG ENGINEERING & MANUFACTURING, INC.",Domestic,1.747374,7,2018-02-26,2023-01-05,,,,,,
FJAVFFKN2LE3,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,SOUTHWIRE COMPANY,"WATTEREDGE, INC.",Domestic,1.745724,11,2016-10-18,2025-08-13,,,,,,
SE6NBH1ZRQN5,,n/a (no SAM record),,,VETERANS' GROUP LLC,Domestic,1.738977,7,2018-05-24,2021-11-24,,,,,,
LZP6L339NKZ9,325211,Plastics Material and Resin Manufacturing,,"MARINE POLYMERS, INC",MARINE POLYMERS INC,Domestic,1.64145,9,2016-07-25,2023-06-30,,,,,,
JFSETNYJ81Y4,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,ELECTRONIC COMPONENTS INC.,Domestic,1.63353,20,2017-01-13,2024-04-15,,,,,,
N16ET1YJ6QZ3,332911,Industrial Valve Manufacturing,,"Romac Industries, Inc.","ROMAC INDUSTRIES, INC.",Domestic,1.604203,11,2020-05-05,2023-10-23,,,,,,
TJGHTGTTVEA1,334111,Electronic Computer Manufacturing,,,"SAFARI MICRO GOVERNMENT SOLUTIONS, LLC",Domestic,1.594495,11,2018-01-26,2023-10-26,,,,,,
V627Y8NS1JM1,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,,,"MILCOTS, LLC",Domestic,1.578913,9,2017-04-21,2024-04-19,,,,,,
PFRSFST9SSL1,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,"RPS HOLDINGS, INC.",RANTEC POWER SYSTEMS INC.,Domestic,1.576067,6,2016-04-22,2019-05-24,,,,,,
VJHFDLA3NLG8,331513,Steel Foundries (except Investment),,"HITACHI, LTD.",Vulcan Metals Corporation,Domestic,1.560121,6,2021-10-25,2025-05-14,,,,,,
LR2HQKYJLDZ7,423830,Industrial Machinery and Equipment Merchant Wholesalers,,ESI ACQUISITION CORP.,ESI ACQUISITION CORP.,Domestic,1.535963,9,2019-06-17,2024-09-19,,,,,,
WXRTZLL25AE5,325991,Custom Compounding of Purchased Resins,,"SEEMANN COMPOSITES, LLC","SEEMANN COMPOSITES, LLC",Domestic,1.529436,9,2019-02-25,2025-06-23,,,,,,
CXQ7A9JSV3K5,335314,Relay and Industrial Control Manufacturing,,ULTRA ELECTRONICS HOLDINGS PLC,"MEASUREMENT SYSTEMS, INC.",Domestic,1.506836,11,2017-08-02,2021-04-29,,,,,,
LFNVWPJYQKH4,541330,Engineering Services,,"COASTAL DESIGN, LLC",COASTAL DESIGN LLC,Domestic,1.501264,24,2016-09-13,2022-12-22,,,,,,
L5YANW2XSND4,333613,Mechanical Power Transmission Equipment Manufacturing,,ACTUANT CORPORATION,"B.W. ELLIOTT MANUFACTURING CO., LLC",Domestic,1.477786,24,2016-08-02,2024-11-13,,,,,,
C1NAJQ34VWM5,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,CAMERON ENERGY SERVICES CORP.,Domestic,1.466786,10,2020-03-26,2025-07-14,,,,,,
C1CCV2BRQJ26,423830,Industrial Machinery and Equipment Merchant Wholesalers,,,MARINE EQUIPMENT AND ENGINEERING SOLUTIONS LLC,Domestic,1.466488,8,2017-06-23,2019-04-02,,,,,,
DSBBDM96K6H6,333517,Machine Tool Manufacturing,,Family Vojinovic Inc,RACER MACHINERY INTERNATIONAL INC,Foreign,1.460912,7,2018-02-27,2024-07-31,,,,,,
UZMKDFWHKTC9,326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,,,"Maro Display, Inc.",Domestic,1.453401,11,2016-05-19,2018-02-05,,,,,,
V212U2BEGU37,541519,Other Computer Related Services,,"SAFARI MICRO, INC.","SAFARI MICRO, INC.",Domestic,1.426651,6,2023-04-28,2025-07-17,,,,,,
MDH6KH9D4SG7,335313,Switchgear and Switchboard Apparatus Manufacturing,,SCHNEIDER ELECTRIC HOLDING ASIE PACIFIQUE,"ASCO POWER TECHNOLOGIES, L..P.",Domestic,1.421559,5,2018-12-17,2025-06-11,,,,,,
XDBJX5QWAM86,541511,Custom Computer Programming Services,,"SAI SYSTEMS INTERNATIONAL, INC.","SAI SYSTEMS INTERNATIONAL, INC.",Domestic,1.414397,18,2016-09-08,2021-02-23,,,,,,
PWK4GDMMEAQ8,334417,Electronic Connector Manufacturing,,AMETEK INC.,AMETEK SCP INC,Domestic,1.410831,12,2019-08-30,2024-09-03,,,,,,
XP9YLL3TNCB9,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,,"S & S FOREST PRODUCTS, LLC",Domestic,1.406593,29,2016-04-12,2025-01-13,,,,,,
JAXJSTJJSP74,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,RAYTHEON COMPANY,RAYTHEON BBN TECHNOLOGIES CORP.,Domestic,1.329406,3,2017-09-14,2018-09-19,,,,,,
JHPXZQA4R1X1,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,,"BLACK ROCK TECHNOLOGY GROUP, LLC",Domestic,1.314622,23,2017-07-17,2024-09-06,,,,,,
FJMAMQK89ZB8,,n/a (no SAM record),,Schlumberger N.V.,"CAMERON TECHNOLOGIES US, INC.",Domestic,1.29642,22,2016-05-11,2019-10-01,,,,,,
KP54PU9M3GY5,,n/a (no SAM record),,TE Connectivity Ltd.,TE CONNECTIVITY SEACON PHOENIX INC.,Domestic,1.292573,14,2016-05-17,2018-03-13,,,,,,
GTDWX1272LQ4,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,,POLISCOM S.R.L.,LINEAR MOTION LLC,Domestic,1.290473,9,2019-12-19,2025-07-15,,,,,,
N1C5QLNPJLS4,334111,Electronic Computer Manufacturing,,Dell Technologies Inc.,DELL FEDERAL SYSTEMS L.P.,Domestic,1.283958,4,2022-01-20,2023-06-30,,,,,,
QDWGXNU1NLY9,,n/a (no SAM record),,Rexnord Corporation,"REXNORD INDUSTRIES, LLC",Domestic,1.24644,3,2016-11-03,2019-03-08,,,,,,
F8M5LJA6LJL4,332911,Industrial Valve Manufacturing,,Rbc Bearings Incorporated,"SARGENT AEROSPACE & DEFENSE, LLC",Domestic,1.236733,5,2018-05-18,2024-04-10,,,,,,
GFSJF2WNK1E1,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,SCHNEIDER ELECTRIC SE,"SCHNEIDER ELECTRIC SYSTEMS USA, INC.",Domestic,1.227124,8,2017-04-10,2022-02-17,,,,,,
KK9HWTR6SM49,,n/a (no SAM record),,SSS Management Corp,"DUER /CAROLINA COIL, INCORPORATED",Domestic,1.222645,13,2016-07-05,2021-08-11,,,,,,
JC42EBJ5NFJ1,336412,Aircraft Engine and Engine Parts Manufacturing,,UNITED TECHNOLOGIES CORPORATION,HAMILTON SUNDSTRAND CORPORATION,Domestic,1.204337,13,2016-11-07,2019-08-15,,,,,,
N6BAAYHLH8G7,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,,"TTM TECHNOLOGIES, INC.","TTM PRINTED CIRCUIT GROUP, INC.",Domestic,1.192806,11,2016-04-01,2020-01-09,,,,,,
KNAGZL3AKW44,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,,"110 TECHNOLOGY, LLC",Domestic,1.171594,4,2016-09-28,2016-12-05,,,,,,
H4K1A9NVAB68,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,,,CRYSTAL INSTRUMENTS CORPORATION,Domestic,1.159706,5,2017-11-27,2023-04-20,,,,,,
HMBSX7Z72UK4,326291,Rubber Product Manufacturing for Mechanical Use,,ESCO TECHNOLOGIES INC.,"WESTLAND TECHNOLOGIES, INC.",Domestic,1.157458,17,2017-02-01,2023-06-23,,,,,"Westland Technologies manufactures molded elastomeric submarine products, including acoustic/sonar baffles, hull treatments, and vibration- or signature-reduction components. A Navy notice tied to this UEI identifies an acoustic sonar baffle, while Westland lists the Virginia class among its supported programs.","https://westland.globecomposite.com/
https://westland.globecomposite.com/capabilities
https://sam.gov/workspace/contract/opp/470787f61001413ab070ef04e70353d5/view"
DJMMEPKGGNB3,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,TE Connectivity Ltd.,"MEASUREMENT SPECIALTIES, INC.",Domestic,1.151726,8,2016-06-06,2019-11-07,,,,,,
QRS8UUK41BA4,332911,Industrial Valve Manufacturing,,,METREX VALVE CORP.,Domestic,1.146466,7,2017-08-25,2019-10-18,,,,,,
ZJYJB7MBFE56,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,CRANE CO,CRANE PUMPS & SYSTEMS PFT CORP,Domestic,1.120075,4,2016-04-08,2024-09-16,,,,,,
DXM3GSLGH2Z5,336611,Ship Building and Repairing,,"FAIRLEAD INTEGRATED, LLC","FAIRLEAD INTEGRATED, LLC",Domestic,1.096355,3,2021-12-16,2024-12-11,,,,,,
RDM6SEMM2WB4,332991,Ball and Roller Bearing Manufacturing,,INA-Holding Schaeffler GmbH & Co. KG,"BARDEN CORPORATION, THE",Domestic,1.089257,5,2017-01-31,2018-07-11,,,,,,
UR5TFK3LAVL5,339999,All Other Miscellaneous Manufacturing,,"Frs Holdings, Inc.",FEDERAL RESOURCES SUPPLY COMPANY,Domestic,1.083338,13,2016-04-21,2024-04-15,,,,,,
TH91MD9B9RL7,332710,Machine Shops,,SSI MANUFACTURING TECHNOLOGIES CORP.,SSI MANUFACTURING TECHNOLOGIES CORP.,Domestic,1.073173,28,2018-10-16,2024-04-15,,,,,,
CKBGA756V5H9,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,,MITCHELL MACHINE INCORPORATED,MITCHELL MACHINE INCORPORATED,Domestic,1.044464,8,2018-06-18,2019-05-06,,,,,,
MUD4KL77FK98,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,US Joiner Holding Company,TURNBULL LLC,Domestic,1.042146,3,2017-08-01,2020-01-14,,,,,,
PM3QRNLPA8K5,336611,Ship Building and Repairing,,,"RILEY POWER GROUP, LLC",Domestic,1.04,1,2017-03-28,2017-03-28,,,,,,
XEYGFMKSLWW5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,THE BUTLER WELDMENTS CORPORATION,THE BUTLER WELDMENTS CORPORATION,Domestic,1.029114,14,2020-04-02,2024-10-16,,,,,,
ZM8CV5ND9LG8,423510,Metal Service Centers and Other Metal Merchant Wholesalers,,Ryerson Holding Corporation,"JOSEPH T. RYERSON & SON, INC.",Domestic,1.015585,4,2019-04-08,2019-04-23,,,,,,
RG3VUTDYFNF8,332710,Machine Shops,,FLUIDYNE CORPORATION,FLUIDYNE CORP,Domestic,1.013754,14,2018-03-09,2025-01-17,,,,,,
FQJTKZNF6GY5,561990,All Other Support Services,,THE HILLER COMPANIES LLC,THE HILLER COMPANIES LLC,Domestic,1.011688,4,2018-02-05,2024-11-15,,,,,,
G45GNP4ARKJ3,332710,Machine Shops,,,PROTERIAL CABLE AMERICA INC,Domestic,1.007054,22,2022-05-06,2025-01-16,,,,,,
KMP7FYJJV3N3,331420,"Copper Rolling, Drawing, Extruding, and Alloying",,PRYSMIAN SPA,"PRYSMIAN CABLES AND SYSTEMS USA, LLC",Domestic,0.99004,1,2019-04-17,2019-04-17,,,,,,
RLYHS582JDW8,334519,Other Measuring and Controlling Device Manufacturing,,Schlumberger N.V.,"CAMERON TECHNOLOGIES US, INC.",Domestic,0.97132,4,2017-08-23,2021-12-08,,,,,,
Z19UP1U6FMT1,238290,Other Building Equipment Contractors,,,INDUSTRIAL TRANSFER AND STORAGE INC.,Domestic,0.956096,7,2017-03-28,2023-10-31,,,,,,
U43WP4FHDJY3,334516,Analytical Laboratory Instrument Manufacturing,,,"MARINE ELECTRIC SYSTEMS, INC.",Domestic,0.954713,12,2016-10-05,2023-05-24,,,,,,
YA7EN5YYJYS8,,n/a (no SAM record),,"APOLLO PROFESSIONAL SOLUTIONS, INC.","APOLLO PROFESSIONAL SOLUTIONS, INC.",Domestic,0.943029,16,2016-02-25,2017-12-07,,,,,,
N28CNQT19JY9,541614,"Process, Physical Distribution, and Logistics Consulting Services",,"USC CONSULTING GROUP, LLC","USC CONSULTING GROUP, LLC",Domestic,0.9384,1,2018-09-11,2018-09-11,,,,,,
V25NZRTBX3R3,,n/a (no SAM record),,SIEMENS AKTIENGESELLSCHAFT,"SIEMENS GOVERNMENT TECHNOLOGIES, INC.",Domestic,0.906062,2,2017-05-11,2018-03-22,,,,,,
QEP4TKLKQDV3,334419,Other Electronic Component Manufacturing,,"U.S. PIONEER, L.L.C.","U.S. PIONEER, L.L.C.",Domestic,0.90097,13,2017-02-08,2023-04-25,,,,,,
MME9X24LUXP1,334111,Electronic Computer Manufacturing,,"ACROMAG, INCORPORATED","ACROMAG, INCORPORATED",Domestic,0.877925,16,2016-10-25,2023-10-18,,,,,,
X96XQ88UFHM5,,"n/a (foreign, no SAM record)",,Maria Do Carmo De Albuquerque Lins Me,Maria Do Carmo De Albuquerque Lins Me,Foreign,0.869,1,2017-02-24,2017-02-24,,,,,,
YA5MLUTX7W19,,n/a (no SAM record),,ITT Inc.,ITT Cannon LLC,Domestic,0.858421,1,2022-02-11,2022-02-11,,,,,,
XRN4L5GSHNJ5,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,,Transdigm Group Incorporated,MASON ELECTRIC CO.,Domestic,0.857769,7,2018-01-10,2024-04-15,,,,,,
