parent,psc,desc,net,breadth,n_years,span,latest_end,idv
Compass,AC12,NATIONAL DEFENSE R&D SERVICES;,6069955.0,1,1,0,2024,0
University Of Hawaii,AC11,NATIONAL DEFENSE R&D SERVICES;,6068750.0,1,1,0,2027,0
Virginia Polytechnic Institute State University,AC13,NATIONAL DEFENSE R&D SERVICES;,6034350.0,1,1,0,2028,0
Lockheed Martin,AC11,NATIONAL DEFENSE R&D SERVICES;,6030995.0,1,1,0,2024,0
Atlantic Diving Supply,5895,MISCELLANEOUS COMMUNICATION EQ,6028809.710000001,5,3,2,2019,0
Cubrc,AC33,NATIONAL DEFENSE R&D SERVICES;,6009491.14,1,1,0,2026,0
Jardon Howard,6910,TRAINING AIDS,6003324.27,1,1,0,2027,0
University Of Hawaii,AC32,NATIONAL DEFENSE R&D SERVICES;,6000000.0,1,1,0,2026,0
Cornerstone Research,AC12,NATIONAL DEFENSE R&D SERVICES;,5999660.02,1,1,0,2025,0
Victory Global Solutions,5810,COMMUNICATIONS SECURITY EQUIPM,5996711.49,1,1,0,2019,0
General Dynamics,5810,COMMUNICATIONS SECURITY EQUIPM,5995192.41,11,8,10,2025,0
Amentum Services,7030,INFORMATION TECHNOLOGY SOFTWAR,5992838.9,1,1,0,2015,0
Lockheed Martin,5985,"ANTENNAS, WAVEGUIDES, AND RELA",5979736.0,1,1,0,2026,0
G2 Ops,AC12,NATIONAL DEFENSE R&D SERVICES;,5971454.3,1,1,0,2025,0
2 Twelve Solutions,R425,SUPPORT- PROFESSIONAL: ENGINEE,5964660.0,2,2,1,2019,0
Ocean Acoustical Services And Instrumentation,AC12,NATIONAL DEFENSE R&D SERVICES;,5962525.96,1,1,0,2026,0
The Charles Stark Draper Laboratory,AC12,NATIONAL DEFENSE R&D SERVICES;,5958790.0,1,1,0,2025,0
General Electric,AC12,NATIONAL DEFENSE R&D SERVICES;,5952880.0,1,1,0,2026,0
Sev1Tech,J070,MAINT/REPAIR/REBUILD OF EQUIPM,5932586.14,1,1,0,2016,0
Chugach Dynamic Solutions,DK01,IT AND TELECOM - STORAGE SUPPO,5930000.28,1,1,0,2027,0
Ansys Government Initiatives,7030,INFORMATION TECHNOLOGY SOFTWAR,5915652.699999999,9,5,5,2022,0
Purdue University,AC12,NATIONAL DEFENSE R&D SERVICES;,5908000.0,1,1,0,2023,0
Vectrus,AC13,NATIONAL DEFENSE R&D SERVICES;,5907590.0,1,1,0,2025,0
Advanced Computer Concepts,5810,COMMUNICATIONS SECURITY EQUIPM,5883077.45,20,9,10,2025,0
International Business Machines,D319,IT AND TELECOM- ANNUAL SOFTWAR,5876170.43,1,1,0,2017,0
Jma Resources,DG10,IT AND TELECOM - NETWORK AS A ,5875670.37,1,1,0,2025,0
Red River,5895,MISCELLANEOUS COMMUNICATION EQ,5873192.09,4,2,1,2019,0
Dock High,1940,SMALL CRAFT,5868894.0,2,2,4,2026,0
Imagine One Management,J058,MAINT/REPAIR/REBUILD OF EQUIPM,5867994.48,2,1,0,2014,0
Cana,AC33,NATIONAL DEFENSE R&D SERVICES;,5864249.0,1,1,0,2024,0
Hii Mission,DA01,IT AND TELECOM - BUSINESS APPL,5854272.84,1,1,0,2024,0
Sopheon,7030,INFORMATION TECHNOLOGY SOFTWAR,5852837.2,1,1,0,2023,0
Jopana,5865,"ELECTRONIC COUNTERMEASURES, CO",5850474.02,10,10,9,2024,0
Treadwell Delaware,2090,MISCELLANEOUS SHIP AND MARINE ,5836000.0,2,1,0,2026,0
Luna Innovations,AC12,NATIONAL DEFENSE R&D SERVICES;,5799589.0,1,1,0,2028,0
Titan One Zero,AD93,R&D- DEFENSE OTHER: OTHER (ADV,5798287.9,1,1,0,2021,0
Efiia Consulting,7030,INFORMATION TECHNOLOGY SOFTWAR,5779312.5,1,1,0,2017,0
Securboration,AC12,NATIONAL DEFENSE R&D SERVICES;,5771574.7,1,1,0,2026,0
V Tech Solutions,D399,IT AND TELECOM- OTHER IT AND T,5767584.21,2,2,1,2016,0
Chugach Technical Solutions,5830,INTERCOMMUNICATION AND PUBLIC ,5758366.9399999995,2,2,1,2026,0
Redshred,AC12,NATIONAL DEFENSE R&D SERVICES;,5746593.3,1,1,0,2026,0
Knobley Technical Associates,AC53,R&D- DEFENSE SYSTEM: WEAPONS (,5703048.0,2,1,0,2019,0
Kudu Dynamics,AC12,NATIONAL DEFENSE R&D SERVICES;,5694445.0,1,1,0,2025,0
Pcmg,7030,INFORMATION TECHNOLOGY SOFTWAR,5691165.2,2,2,1,2023,0
Booz Allen,J070,MAINT/REPAIR/REBUILD OF EQUIPM,5689619.19,1,1,0,2017,0
Nexagen Networks,D321,IT AND TELECOM- HELP DESK,5685579.26,1,1,0,2024,0
Blackboard,7030,INFORMATION TECHNOLOGY SOFTWAR,5683879.140000001,5,3,3,2022,0
Solutions Development,D302,IT AND TELECOM- SYSTEMS DEVELO,5677348.74,1,1,0,2010,0
Syneren,D307,IT AND TELECOM- IT STRATEGY AN,5662282.0,1,1,0,2016,0
Transource Services,7030,INFORMATION TECHNOLOGY SOFTWAR,5655553.2,1,1,0,2022,0
Colonna S Ship Yard,1925,SPECIAL SERVICE VESSELS,5651538.74,1,1,0,2017,0
Solute,AC33,NATIONAL DEFENSE R&D SERVICES;,5650000.0,1,1,0,2024,0
Damen Shipbuilding Cooperation B V,1905,COMBAT SHIPS AND LANDING VESSE,5647556.0,1,1,0,2026,0
Cana,AC13,NATIONAL DEFENSE R&D SERVICES;,5644644.0,1,1,0,2028,0
Thundercat,7030,INFORMATION TECHNOLOGY SOFTWAR,5635194.76,11,6,6,2020,0
Sienna,DA01,IT AND TELECOM - BUSINESS APPL,5633900.78,1,1,0,2024,0
Boeing,AD92,R&D- DEFENSE OTHER: OTHER (APP,5632677.0,1,1,0,2025,0
Bgi,AC65,R&D- DEFENSE SYSTEM: ELECTRONI,5612026.0,1,1,0,2015,0
Materials Sciences,5845,UNDERWATER SOUND EQUIPMENT,5581653.260000001,4,3,5,2014,0
Jentek Sensors,AC12,NATIONAL DEFENSE R&D SERVICES;,5550893.85,1,1,0,2026,0
Kri At Northeastern University,AC12,NATIONAL DEFENSE R&D SERVICES;,5550251.0,1,1,0,2023,0
Metal Improvement,AC12,NATIONAL DEFENSE R&D SERVICES;,5547427.0,1,1,0,2024,0
Compunetix,5895,MISCELLANEOUS COMMUNICATION EQ,5513624.0,4,4,11,2026,0
Serco,AC64,R&D- DEFENSE SYSTEM: ELECTRONI,5470327.98,1,1,0,2025,0
Kestrel Institute,AD92,R&D- DEFENSE OTHER: OTHER (APP,5466375.0,1,1,0,2023,0
Gryphon Marine,2090,MISCELLANEOUS SHIP AND MARINE ,5442479.84,1,1,0,2018,0
Information Management Resources,DC01,IT AND TELECOM - DATA CENTER S,5438299.84,1,1,0,2025,0
Phacil,D399,IT AND TELECOM- OTHER IT AND T,5429824.08,2,2,1,2017,0
Akira,5895,MISCELLANEOUS COMMUNICATION EQ,5413108.02,4,3,3,2021,0
Georgia Tech Research,AD92,R&D- DEFENSE OTHER: OTHER (APP,5401643.0,1,1,0,2024,0
Terma,5865,"ELECTRONIC COUNTERMEASURES, CO",5395925.54,7,5,11,2027,0
Advanced Computer Concepts,7030,INFORMATION TECHNOLOGY SOFTWAR,5383086.99,8,4,3,2021,0
Innovasystems International,D318,IT AND TELECOM- INTEGRATED HAR,5379656.97,1,1,0,2019,0
Integrated Data Services,R408,SUPPORT- PROFESSIONAL: PROGRAM,5363570.87,1,1,0,2026,0
Fuse Integration,AD23,R&D- DEFENSE OTHER: SERVICES (,5355287.33,2,1,0,2025,0
Innovative,AD92,R&D- DEFENSE OTHER: OTHER (APP,5351764.0,1,1,0,2024,0
Logos,AC12,NATIONAL DEFENSE R&D SERVICES;,5351285.29,1,1,0,2022,0
Accenture Federal Services,R425,SUPPORT- PROFESSIONAL: ENGINEE,5343481.13,1,1,0,2026,0
Bowhead Cybersecurity Solutions Services,DC01,IT AND TELECOM - DATA CENTER S,5341426.49,3,2,3,2028,0
Ginkgo Bioworks,AJ21,R&D- GENERAL SCIENCE/TECHNOLOG,5338550.0,1,1,0,2022,0
Carley,D399,IT AND TELECOM- OTHER IT AND T,5329434.000000001,7,4,3,2021,0
Four Points L L C,7030,INFORMATION TECHNOLOGY SOFTWAR,5318758.609999999,5,2,1,2017,0
Peraton,D308,IT AND TELECOM- PROGRAMMING,5310335.279999999,2,2,3,2018,0
The Daston,7H20,IT AND TELECOM - PLATFORM PROD,5307730.0,2,2,3,2026,0
Hrl Laboratories,AD93,R&D- DEFENSE OTHER: OTHER (ADV,5297756.0,1,1,0,2021,0
BAE Systems,AC32,NATIONAL DEFENSE R&D SERVICES;,5289073.0,1,1,0,2025,0
Global Management,D399,IT AND TELECOM- OTHER IT AND T,5278101.21,1,1,0,2016,0
Abt Global,AN42,HEALTH R&D SERVICES; HEALTH CA,5275191.2,1,1,0,2025,0
Peridot Solutions,D399,IT AND TELECOM- OTHER IT AND T,5262068.0,3,1,0,2017,0
Koniag Data Solutions,DA01,IT AND TELECOM - BUSINESS APPL,5259979.72,1,1,0,2026,0
Tyto Government Solutions,D316,IT AND TELECOM- TELECOMMUNICAT,5251964.23,1,1,0,2024,0
Leidos,AC63,R&D- DEFENSE SYSTEM: ELECTRONI,5240374.9,1,1,0,2017,0
Athoc,D319,IT AND TELECOM- ANNUAL SOFTWAR,5221312.5,1,1,0,2016,0
Valkyrie Enterprises,1720,AIRCRAFT LAUNCHING EQUIPMENT,5210991.0,3,2,1,2016,0
Boston Engineering,AC12,NATIONAL DEFENSE R&D SERVICES;,5210000.0,1,1,0,2026,0
Halo Maritime Defense,2090,MISCELLANEOUS SHIP AND MARINE ,5208723.42,1,1,0,2022,0
Research,AC12,NATIONAL DEFENSE R&D SERVICES;,5200079.0,1,1,0,2024,0
Booz Allen,2090,MISCELLANEOUS SHIP AND MARINE ,5194953.47,7,5,7,2025,0
Orbital Sciences,1450,GUIDED MISSILE HANDLING AND SE,5194686.42,1,1,0,2023,0
Utah State University Space Dynamics Laboratory,AC13,NATIONAL DEFENSE R&D SERVICES;,5188917.0,1,1,0,2024,0
Envisioneering,AC33,NATIONAL DEFENSE R&D SERVICES;,5177970.93,1,1,0,2026,0
Sprint Communications,D399,IT AND TELECOM- OTHER IT AND T,5137114.46,3,2,1,2017,0
Battelle Memorial Institute,AC13,NATIONAL DEFENSE R&D SERVICES;,5132350.0,1,1,0,2027,0
Irvingq Limited,1055,"LAUNCHERS, ROCKET AND PYROTECH",5126852.450000001,6,6,7,2024,0
Hii Fleet Support,R699,SUPPORT- ADMINISTRATIVE: OTHER,5122530.48,1,1,0,2016,0
Aecom Technical Services,5810,COMMUNICATIONS SECURITY EQUIPM,5120849.79,1,1,0,2020,0
The Keyw,5841,"RADAR EQUIPMENT, AIRBORNE",5102542.29,1,1,0,2020,0
Jag Industrial Services,1925,SPECIAL SERVICE VESSELS,5099745.16,1,1,0,2016,0
Research,AC31,NATIONAL DEFENSE R&D SERVICES;,5099647.0,1,1,0,2022,0
Science Applications International,1398,SPECIALIZED AMMUNITION HANDLIN,5085636.04,1,1,0,2026,0
Parsons Government Services,AC13,NATIONAL DEFENSE R&D SERVICES;,5082483.0,1,1,0,2027,0
Essentium,AC12,NATIONAL DEFENSE R&D SERVICES;,5082464.37,1,1,0,2024,0
Fiber Span,5820,RADIO AND TELEVISION COMMUNICA,5075160.95,1,1,0,2013,0
Textron,1550,UNMANNED AIRCRAFT,5073976.05,1,1,0,2016,0
Vectrus,J070,MAINT/REPAIR/REBUILD OF EQUIPM,5072196.57,1,1,0,2019,0
Universal Consulting Services,7010,INFORMATION TECHNOLOGY EQUIPME,5054867.16,1,1,0,2014,0
Paladin Data,D399,IT AND TELECOM- OTHER IT AND T,5032563.2,2,2,3,2022,0
Point Rock Solutions,5895,MISCELLANEOUS COMMUNICATION EQ,5032412.890000001,7,2,1,2016,0
Virginia Polytechnic Institute State University,AC32,NATIONAL DEFENSE R&D SERVICES;,5000000.0,1,1,0,2025,0
Cypher Analytics,5895,MISCELLANEOUS COMMUNICATION EQ,4999319.5,3,3,4,2020,0
Sev1Tech,J058,MAINT/REPAIR/REBUILD OF EQUIPM,4984140.84,1,1,0,2018,0
Symetrics Industries,7B22,IT AND TELECOM - COMPUTE: SERV,4979711.98,3,3,2,2027,0
Bb E,D399,IT AND TELECOM- OTHER IT AND T,4943670.41,2,1,0,2025,0
Huntington Ingalls,2090,MISCELLANEOUS SHIP AND MARINE ,4941353.78,4,3,5,2016,0
Impact Science,R425,SUPPORT- PROFESSIONAL: ENGINEE,4935783.54,1,1,0,2015,0
Nakupuna Solutions,DA10,IT AND TELECOM - BUSINESS APPL,4931830.17,1,1,0,2025,0
Strategic Advanced Communications,5805,TELEPHONE AND TELEGRAPH EQUIPM,4924890.46,1,1,0,2018,0
Woods Hole Oceanographic Institution,2090,MISCELLANEOUS SHIP AND MARINE ,4903901.5,1,1,0,2016,0
University Of California San Diego,2090,MISCELLANEOUS SHIP AND MARINE ,4903774.0,1,1,0,2017,0
Ubc,5985,"ANTENNAS, WAVEGUIDES, AND RELA",4897629.83,2,2,1,2019,0
Unison Virtual Acquisition Office,7A21,IT AND TELECOM - BUSINESS APPL,4887802.66,1,1,0,2025,0
August Schell Enterprises,7A21,IT AND TELECOM - BUSINESS APPL,4865606.149999999,11,2,1,2023,0
Jb Federal,D399,IT AND TELECOM- OTHER IT AND T,4852439.84,1,1,0,2011,0
Drs Advanced Isr,J059,MAINT/REPAIR/REBUILD OF EQUIPM,4850364.0,1,1,0,2020,0
G C Micro,7030,INFORMATION TECHNOLOGY SOFTWAR,4843882.29,4,4,6,2021,0
Unistar Sparco Computers,7030,INFORMATION TECHNOLOGY SOFTWAR,4842109.75,4,3,3,2020,0
Sentient Digital,DA01,IT AND TELECOM - BUSINESS APPL,4836951.02,1,1,0,2025,0
American Superconductor,1905,COMBAT SHIPS AND LANDING VESSE,4822952.0,1,1,0,2027,0
Amentum Services,R410,SUPPORT- PROFESSIONAL: PROGRAM,4822140.0,1,1,0,2019,0
Mtu Maintenance Berlin Brandenburg Gmbh,2090,MISCELLANEOUS SHIP AND MARINE ,4817352.0,1,1,0,2022,0
Impact Science,5865,"ELECTRONIC COUNTERMEASURES, CO",4808369.32,2,1,0,2015,0
Softconcept,D301,IT AND TELECOM- FACILITY OPERA,4775115.2,1,1,0,2020,0
Softchoice,7030,INFORMATION TECHNOLOGY SOFTWAR,4760993.24,6,2,1,2017,0
Sci,7G20,IT AND TELECOM - NETWORK: ANAL,4742939.0,2,2,2,2025,0
Teradyne,5865,"ELECTRONIC COUNTERMEASURES, CO",4733008.04,2,2,5,2021,0
Kupono Government Services,6910,TRAINING AIDS,4723694.59,1,1,0,2023,0
Wpi Services,DA10,IT AND TELECOM - BUSINESS APPL,4723416.92,1,1,0,2025,0
Strategic Advanced Communications,D399,IT AND TELECOM- OTHER IT AND T,4707534.12,1,1,0,2019,0
Blue Tech,5865,"ELECTRONIC COUNTERMEASURES, CO",4700317.58,5,3,4,2017,0
Moog,2040,MARINE HARDWARE AND HULL ITEMS,4695300.0,2,2,1,2024,0
General Dynamics,R410,SUPPORT- PROFESSIONAL: PROGRAM,4692267.34,1,1,0,2023,0
Astronics Test,5985,"ANTENNAS, WAVEGUIDES, AND RELA",4680900.68,1,1,0,2020,0
Caci Enterprise Solutions,AJ42,R&D- GENERAL SCIENCE/TECHNOLOG,4674630.0,1,1,0,2017,0
General Dynamics,7030,INFORMATION TECHNOLOGY SOFTWAR,4664221.16,3,3,5,2020,0
Spn Solutions,DG01,IT AND TELECOM - NETWORK SUPPO,4651002.0,1,1,0,2026,0
Moog,5895,MISCELLANEOUS COMMUNICATION EQ,4649321.0,3,2,3,2025,0
Imedconsent,7030,INFORMATION TECHNOLOGY SOFTWAR,4634930.88,1,1,0,2018,0
Opus,R425,SUPPORT- PROFESSIONAL: ENGINEE,4629597.24,1,1,0,2019,0
Hanwha Philly Shipyard,1925,SPECIAL SERVICE VESSELS,4606805.58,1,1,0,2022,0
Mare Island Dry Dock,1990,MISCELLANEOUS VESSELS,4602557.0,2,1,0,2015,0
Netzer Russell Consulting,AC55,R&D- DEFENSE SYSTEM: WEAPONS (,4578427.64,1,1,0,2020,0
Ge Energy Power Conversion Naval,1905,COMBAT SHIPS AND LANDING VESSE,4576246.0,1,1,0,2030,0
General Dynamics,7A20,IT AND TELECOM - APPLICATION D,4550584.24,2,1,0,2022,0
Sci,7G21,IT AND TELECOM - NETWORK: DIGI,4543719.56,1,1,0,2022,0
Syn Tech System,J070,MAINT/REPAIR/REBUILD OF EQUIPM,4537662.25,3,2,1,2018,0
Cambridge International,N063,INSTALLATION OF EQUIPMENT- ALA,4524292.76,2,2,1,2025,0
Tetrad Digital Integrity,R420,SUPPORT- PROFESSIONAL: CERTIFI,4517595.45,1,1,0,2018,0
L3,1260,FIRE CONTROL DESIGNATING AND I,4499600.4,1,1,0,2019,0
Snap,R425,SUPPORT- PROFESSIONAL: ENGINEE,4498888.66,1,1,0,2023,0
Its Consulting,R425,SUPPORT- PROFESSIONAL: ENGINEE,4498675.0,1,1,0,2025,0
Red River Resources,DF01,IT AND TELECOM - IT MANAGEMENT,4497816.0,1,1,0,2025,0
General Dynamics,5342,"HARDWARE, WEAPON SYSTEM",4494547.04,4,3,3,2026,0
Avum,R799,SUPPORT- MANAGEMENT: OTHER,4487279.01,1,1,0,2023,0
Leidos,J070,MAINT/REPAIR/REBUILD OF EQUIPM,4483543.92,1,1,0,2018,0
Hana Horizons,DA01,IT AND TELECOM - BUSINESS APPL,4462947.96,1,1,0,2026,0
Science Applications International,R699,SUPPORT- ADMINISTRATIVE: OTHER,4459767.88,1,1,0,2022,0
Jfl Consulting,R425,SUPPORT- PROFESSIONAL: ENGINEE,4456850.36,1,1,0,2024,0
A T Kearney Public Sector And Defense Services,R425,SUPPORT- PROFESSIONAL: ENGINEE,4448229.32,1,1,0,2022,0
The Columbia,2090,MISCELLANEOUS SHIP AND MARINE ,4434443.41,1,1,0,2027,0
Sotera Defense Solutions,AJ46,R&D- GENERAL SCIENCE/TECHNOLOG,4408605.14,1,1,0,2017,0
Decathlon Development,DA01,IT AND TELECOM - BUSINESS APPL,4404033.0,1,1,0,2026,0
Science Applications International,R405,SUPPORT- PROFESSIONAL: OPERATI,4387672.92,1,1,0,2020,0
L3,AC65,R&D- DEFENSE SYSTEM: ELECTRONI,4386051.96,1,1,0,2022,0
Smartronix,D316,IT AND TELECOM- TELECOMMUNICAT,4378276.0,1,1,0,2018,0
Fedtek,7030,INFORMATION TECHNOLOGY SOFTWAR,4338926.47,3,2,1,2019,0
Gpa,5810,COMMUNICATIONS SECURITY EQUIPM,4330383.78,1,1,0,2023,0
Management Services,7010,INFORMATION TECHNOLOGY EQUIPME,4316902.05,2,1,0,2016,0
Malasha,DA10,IT AND TELECOM - BUSINESS APPL,4315224.1,1,1,0,2025,0
Nova Photonics,5810,COMMUNICATIONS SECURITY EQUIPM,4314469.32,1,1,0,2026,0
Tkms Atlas North America,5865,"ELECTRONIC COUNTERMEASURES, CO",4297573.4,1,1,0,2026,0
Pacific Consolidated Industries,2090,MISCELLANEOUS SHIP AND MARINE ,4284305.11,1,1,0,2011,0
Hawaii Resource,1990,MISCELLANEOUS VESSELS,4276731.1,1,1,0,2015,0
Its Consulting,3590,MISCELLANEOUS SERVICE AND TRAD,4270590.0,1,1,0,2023,0
Bmt Designers Planners,1925,SPECIAL SERVICE VESSELS,4262405.18,2,2,1,2022,0
Digital Receiver,5820,RADIO AND TELEVISION COMMUNICA,4260906.0,3,2,5,2015,1
Wing Inflatables,1940,SMALL CRAFT,4260876.3100000005,16,6,5,2020,0
Buchanan Edwards,D399,IT AND TELECOM- OTHER IT AND T,4253163.75,4,1,0,2017,0
Maritime Surveillance Associates,AD93,R&D- DEFENSE OTHER: OTHER (ADV,4247484.37,3,3,14,2025,0
Integrated Data Services,R415,SUPPORT- PROFESSIONAL: TECHNOL,4240823.36,1,1,0,2021,0
H2 Performance Consulting,D314,IT AND TELECOM- SYSTEM ACQUISI,4225492.32,1,1,0,2022,0
New Directions,5845,UNDERWATER SOUND EQUIPMENT,4205334.0,1,1,0,2025,0
Digital Management,R408,SUPPORT- PROFESSIONAL: PROGRAM,4187920.1,1,1,0,2021,0
Copper River Information,5895,MISCELLANEOUS COMMUNICATION EQ,4187090.68,5,2,1,2016,0
Everllence Middle East And Africa L L C,2090,MISCELLANEOUS SHIP AND MARINE ,4150634.3200000003,7,3,2,2026,0
Gartner,D399,IT AND TELECOM- OTHER IT AND T,4149083.0,3,3,3,2019,0
Realization,7A21,IT AND TELECOM - BUSINESS APPL,4144063.18,1,1,0,2025,0
Sirius Federal,7030,INFORMATION TECHNOLOGY SOFTWAR,4122131.1,6,4,5,2023,0
Leader Communications,DG01,IT AND TELECOM - NETWORK SUPPO,4109214.7199999997,2,2,2,2027,0
Bruker Detection,6665,HAZARD-DETECTING INSTRUMENTS A,4097876.4,5,2,1,2024,0
General Dynamics,R708,SUPPORT- MANAGEMENT: PUBLIC RE,4077044.28,1,1,0,2027,0
Seebyte Limited,DF01,IT AND TELECOM - IT MANAGEMENT,4060680.73,7,2,1,2023,0
Acuity Consulting,R499,SUPPORT- PROFESSIONAL: OTHER,4054860.13,1,1,0,2015,0
New Tech Solutions,5820,RADIO AND TELEVISION COMMUNICA,4053602.23,3,3,8,2026,0
Avertium Tennessee,5820,RADIO AND TELEVISION COMMUNICA,4046352.6399999997,2,1,0,2016,0
Giga Tronics,5841,"RADAR EQUIPMENT, AIRBORNE",4040328.1,1,1,0,2021,0
Amazon Web Services,7030,INFORMATION TECHNOLOGY SOFTWAR,4039131.0,1,1,0,2021,0
Fcn,7025,INFORMATION TECHNOLOGY INPUT/O,4038202.16,1,1,0,2018,0
Nammo Perry,1370,PYROTECHNICS,4028059.39,2,2,1,2020,0
Mercury Mission,5995,"CABLE, CORD, AND WIRE ASSEMBLI",4000000.0,1,1,0,2029,0
Advanced Computer Concepts,6145,"WIRE AND CABLE, ELECTRICAL",3996676.35,1,1,0,2020,0
Manila Consulting,D399,IT AND TELECOM- OTHER IT AND T,3995241.46,1,1,0,2019,0
Network Security Plus,D399,IT AND TELECOM- OTHER IT AND T,3993469.02,1,1,0,2018,0
Craytek,DE01,IT and Telecom - End User: Hel,3982486.22,1,1,0,2026,0
Peregrine Technical Solutions,R425,SUPPORT- PROFESSIONAL: ENGINEE,3977882.48,1,1,0,2018,0
Its Consulting,D302,IT AND TELECOM- SYSTEMS DEVELO,3976189.23,1,1,0,2020,0
Chenega Applied Solutions,D399,IT AND TELECOM- OTHER IT AND T,3973077.98,1,1,0,2017,0
J N Metal Products,1905,COMBAT SHIPS AND LANDING VESSE,3956338.99,14,10,10,2026,0
Four,7A20,IT AND TELECOM - APPLICATION D,3950222.5000000005,3,2,1,2026,0
L3,7G21,IT AND TELECOM - NETWORK: DIGI,3936792.62,2,1,0,2024,0
Techfirst,D302,IT AND TELECOM- SYSTEMS DEVELO,3931915.2,1,1,0,2021,0
Detyens Shipyards,2090,MISCELLANEOUS SHIP AND MARINE ,3930352.0,1,1,0,2015,0
Imagine One Management,AC67,R&D- DEFENSE SYSTEM: ELECTRONI,3929517.5200000005,2,2,2,2015,0
Intellipeak Solutions,D399,IT AND TELECOM- OTHER IT AND T,3928697.0,1,1,0,2021,0
Tribalco,5820,RADIO AND TELEVISION COMMUNICA,3928045.6900000004,4,4,6,2021,0
Aimereon,K069,MODIFICATION OF EQUIPMENT- TRA,3912546.6999999997,4,3,3,2017,0
Northrop Grumman,5998,ELECTRICAL AND ELECTRONIC ASSE,3906000.0,1,1,0,2028,0
Tm3 Solutions,D399,IT AND TELECOM- OTHER IT AND T,3903518.79,1,1,0,2019,0
Net World,D399,IT AND TELECOM- OTHER IT AND T,3896960.0,3,3,4,2021,0
Fraser Shipyards,1940,SMALL CRAFT,3882914.0,1,1,0,2025,0
L3Harris,2090,MISCELLANEOUS SHIP AND MARINE ,3878357.76,3,2,5,2021,0
Information Delivery,D318,IT AND TELECOM- INTEGRATED HAR,3868116.74,1,1,0,2023,0
Scalable Network,7030,INFORMATION TECHNOLOGY SOFTWAR,3852201.0,5,3,2,2016,0
Cronos Consulting,5895,MISCELLANEOUS COMMUNICATION EQ,3841577.0,1,1,0,2020,0
Ispa,R425,SUPPORT- PROFESSIONAL: ENGINEE,3834739.11,1,1,0,2026,0
Inertial Airline Services,6605,NAVIGATIONAL INSTRUMENTS,3831670.0,5,2,1,2027,0
Enterprise Electronics,5895,MISCELLANEOUS COMMUNICATION EQ,3822868.5800000005,6,6,9,2024,0
Odyssey Consulting,R425,SUPPORT- PROFESSIONAL: ENGINEE,3813990.33,3,1,0,2017,0
Ogsystems,D399,IT AND TELECOM- OTHER IT AND T,3812659.43,1,1,0,2019,0
Identiprise,7030,INFORMATION TECHNOLOGY SOFTWAR,3801921.85,1,1,0,2015,0
Nova An Employee Owned Engineering,6910,TRAINING AIDS,3794665.86,1,1,0,2022,0
Alcyon,D399,IT AND TELECOM- OTHER IT AND T,3789445.87,1,1,0,2014,0
Alpha Omega Integration,D302,IT AND TELECOM- SYSTEMS DEVELO,3787568.52,1,1,0,2021,0
Maxar Mission Solutions,5895,MISCELLANEOUS COMMUNICATION EQ,3771699.33,3,3,2,2019,0
Rolls Royce Marine North America,2010,SHIP AND BOAT PROPULSION COMPO,3730241.94,4,2,12,2024,1
Uec Electronics,N063,INSTALLATION OF EQUIPMENT- ALA,3727302.9,1,1,0,2025,0
RTX,1055,"LAUNCHERS, ROCKET AND PYROTECH",3700000.0,1,1,0,2016,0
Delta Solutions Strategies,D301,IT AND TELECOM- FACILITY OPERA,3694153.92,1,1,0,2020,0
Teledyne Controls,7030,INFORMATION TECHNOLOGY SOFTWAR,3686538.94,3,2,3,2025,0
Rockwell Collins,6610,FLIGHT INSTRUMENTS,3680777.0,1,1,0,2020,0
G3,6625,ELECTRICAL AND ELECTRONIC PROP,3664360.0,1,1,0,2018,0
World Wide,5820,RADIO AND TELEVISION COMMUNICA,3659920.8299999996,6,3,5,2020,0
Cadence Design,5865,"ELECTRONIC COUNTERMEASURES, CO",3643288.0,1,1,0,2025,0
Garrett Container,1410,GUIDED MISSILES,3619614.4,2,1,0,2022,0
Fiber Business Solutions,N063,INSTALLATION OF EQUIPMENT- ALA,3615261.5,1,1,0,2026,0
General Dynamics,AC23,NATIONAL DEFENSE R&D SERVICES;,3613916.0,1,1,0,2022,0
Rockwell Collins,5865,"ELECTRONIC COUNTERMEASURES, CO",3612220.37,2,2,10,2027,0
Boeing,D318,IT AND TELECOM- INTEGRATED HAR,3590000.0,1,1,0,2014,0
Johnson Controls Navy,4130,REFRIGERATION AND AIR CONDITIO,3588586.5,1,1,0,2026,0
Long Wave,5810,COMMUNICATIONS SECURITY EQUIPM,3586781.01,3,2,4,2023,0
Hydroacoustics,5895,MISCELLANEOUS COMMUNICATION EQ,3555349.0,3,3,2,2023,0
Utah State University Space Dynamics Laboratory,7030,INFORMATION TECHNOLOGY SOFTWAR,3554468.0,1,1,0,2021,0
L3Harris,7030,INFORMATION TECHNOLOGY SOFTWAR,3526789.7,4,2,1,2018,0
Flam Russell,5865,"ELECTRONIC COUNTERMEASURES, CO",3519116.64,1,1,0,2017,0
Linear Photonics,5865,"ELECTRONIC COUNTERMEASURES, CO",3511606.25,4,4,4,2020,0
Mca Solutions,D399,IT AND TELECOM- OTHER IT AND T,3510366.12,1,1,0,2017,0
Ansys,7030,INFORMATION TECHNOLOGY SOFTWAR,3507510.66,4,3,2,2021,0
Gstek,D399,IT AND TELECOM- OTHER IT AND T,3500809.3600000003,2,2,2,2024,0
